id,tweetText,tweetURL,type,tweetAuthor,replyCount,quoteCount,retweetCount,likeCount,views,bookmarkCount,createdAt,allMediaURL
1.69842E+18,“May you live forever” is the worst possible curse once you understand deep time,https://twitter.com/elonmusk/status/1698418337364033900,tweet,Elon Musk,3168,251,1387,10550,434430,145,9/3/2023 22:31,
1.69823E+18,@cb_doge True,https://twitter.com/elonmusk/status/1698232125340660191,tweet,Elon Musk,449,20,80,1577,107279,16,9/3/2023 10:11,
1.69823E+18,@GailAlfarATX Yeah,https://twitter.com/elonmusk/status/1698231919710806093,tweet,Elon Musk,131,8,54,1087,50020,7,9/3/2023 10:10,
1.69823E+18,@teslaownersSV Yes,https://twitter.com/elonmusk/status/1698231337965035975,tweet,Elon Musk,179,16,80,1403,63258,24,9/3/2023 10:07,
1.69823E+18,@ashleevance 😂,https://twitter.com/elonmusk/status/1698231184365429164,tweet,Elon Musk,42,3,26,638,35704,2,9/3/2023 10:07,
1.69823E+18,@cb_doge Cool,https://twitter.com/elonmusk/status/1698230811512770639,tweet,Elon Musk,180,3,59,1081,44266,4,9/3/2023 10:05,
1.69823E+18,@SawyerMerritt @Tesla Yup,https://twitter.com/elonmusk/status/1698230509694828649,tweet,Elon Musk,150,17,127,2150,103888,11,9/3/2023 10:04,
1.69823E+18,@alx 😂,https://twitter.com/elonmusk/status/1698230418787520951,tweet,Elon Musk,68,6,62,1407,61609,4,9/3/2023 10:04,
1.69823E+18,@Jason Exactly,https://twitter.com/elonmusk/status/1698230333198500293,tweet,Elon Musk,101,5,49,953,47792,14,9/3/2023 10:03,
1.69823E+18,SpaceX bringing @NASA astronauts back to Earth tomorrow,https://twitter.com/elonmusk/status/1698230163157201078,tweet,Elon Musk,4077,278,6102,52921,12308110,224,9/3/2023 10:03,
1.69823E+18,@billmaher @joerogan Good talk with Joe!,https://twitter.com/elonmusk/status/1698229939072369100,tweet,Elon Musk,82,6,50,1476,72240,7,9/3/2023 10:02,
1.69823E+18,@cb_doge 😂,https://twitter.com/elonmusk/status/1698229558695035315,tweet,Elon Musk,199,4,44,893,35168,5,9/3/2023 10:00,
1.69817E+18,@WallStreetSilv Would be hilariously ironic for the Anti-Defamation League to lose a defamation lawsuit,https://twitter.com/elonmusk/status/1698174990770692121,tweet,Elon Musk,405,55,643,6256,185206,40,9/3/2023 6:24,
1.69817E+18,@alx Yeah,https://twitter.com/elonmusk/status/1698168586118869253,tweet,Elon Musk,149,7,59,1055,58566,4,9/3/2023 5:58,
1.69817E+18,@WallStreetSilv It would be difficult to describe them as centrist,https://twitter.com/elonmusk/status/1698168469177393473,tweet,Elon Musk,306,20,259,5132,228880,19,9/3/2023 5:58,
1.69816E+18,@cb_doge @X Ok,https://twitter.com/elonmusk/status/1698156681845207116,tweet,Elon Musk,273,10,86,1970,70430,17,9/3/2023 5:11,
1.69814E+18,@AutismCapital I do hear it rained a lot 😂,https://twitter.com/elonmusk/status/1698136265411960836,tweet,Elon Musk,210,11,55,1204,72103,10,9/3/2023 3:50,
1.69814E+18,@KanekoaTheGreat @billmaher @joerogan True,https://twitter.com/elonmusk/status/1698135934976303570,tweet,Elon Musk,117,4,219,4244,157644,17,9/3/2023 3:48,
1.69814E+18,@EdKrassen True,https://twitter.com/elonmusk/status/1698135710987845993,tweet,Elon Musk,126,5,55,931,48875,9,9/3/2023 3:47,
1.69814E+18,@DrJBhattacharya @MdBreathe @US_FDA Interesting,https://twitter.com/elonmusk/status/1698135201182892279,tweet,Elon Musk,83,4,133,1592,59911,22,9/3/2023 3:45,
1.69813E+18,@TeslaSynopsis @WalterIsaacson Very little,https://twitter.com/elonmusk/status/1698134719332761635,tweet,Elon Musk,248,10,43,1250,38840,14,9/3/2023 3:44,
1.69811E+18,@cb_doge 😂,https://twitter.com/elonmusk/status/1698107918216733010,tweet,Elon Musk,188,5,71,1303,50737,7,9/3/2023 1:57,
1.6981E+18,@MuskUniversity Extremely,https://twitter.com/elonmusk/status/1698103913117831468,tweet,Elon Musk,155,13,54,1248,51233,16,9/3/2023 1:41,
1.6981E+18,@natfriedman 😂,https://twitter.com/elonmusk/status/1698103809992454580,tweet,Elon Musk,36,3,20,543,41405,2,9/3/2023 1:41,
1.6981E+18,@stclairashley Yeah,https://twitter.com/elonmusk/status/1698099509287371186,tweet,Elon Musk,155,8,69,1452,90781,5,9/3/2023 1:24,
1.6981E+18,@Scobleizer We shut down a lot of bots this week,https://twitter.com/elonmusk/status/1698099078805008577,tweet,Elon Musk,349,38,140,2074,103388,22,9/3/2023 1:22,
1.6981E+18,@micsolana Accurate,https://twitter.com/elonmusk/status/1698096063230456274,tweet,Elon Musk,54,7,50,803,48387,11,9/3/2023 1:10,
1.69809E+18,@cb_doge !🧠,https://twitter.com/elonmusk/status/1698094868977901887,tweet,Elon Musk,283,16,90,1574,58866,19,9/3/2023 1:05,
1.69809E+18,Improved Community Notes,https://twitter.com/elonmusk/status/1698094355381190669,tweet,Elon Musk,3655,214,3472,30979,9921752,164,9/3/2023 1:03,
1.69808E+18,@tunguz I’ve got a great set of slides on that. Works really well in sim!,https://twitter.com/elonmusk/status/1698079683789664628,tweet,Elon Musk,236,19,82,1773,119397,31,9/3/2023 0:05,
1.69808E+18,@tunguz Ego/Brains &gt;&gt; 1 is one of the world’s biggest problems,https://twitter.com/elonmusk/status/1698078424206647486,tweet,Elon Musk,224,27,111,1233,50738,43,9/3/2023 0:00,
1.69807E+18,@garrytan 💯,https://twitter.com/elonmusk/status/1698067652894175654,tweet,Elon Musk,85,3,48,819,42314,5,9/2/2023 23:17,
1.69807E+18,Exactly,https://twitter.com/elonmusk/status/1698067555636727980,tweet,Elon Musk,3697,208,6360,56722,13372807,199,9/2/2023 23:17,
1.69807E+18,@stclairashley Interesting @washingtonpost,https://twitter.com/elonmusk/status/1698067447377461286,tweet,Elon Musk,84,5,115,1450,65205,20,9/2/2023 23:16,
1.69807E+18,"@krassenstein Agreed on all. 

We’re changing polls to allow votes only by verified users. That’s critical to avoid polls getting bot-spammed on controversial issues.

The ADL has done a lot of good work in prior decades, but has been overzealous in recent years &amp; hijacked by woke mind virus.",https://twitter.com/elonmusk/status/1698067273288646755,tweet,Elon Musk,2721,857,1138,11649,1313889,139,9/2/2023 23:16,
1.69807E+18,"At college, I learned super important knowledge, like uhh … 🤔 https://t.co/TI00OcTwEG",https://twitter.com/elonmusk/status/1698065678832390183,tweet,Elon Musk,14873,3582,57376,517986,37082614,6363,9/2/2023 23:09,https://pbs.twimg.com/media/F5C9u_pXoAIdb33.jpg
1.69806E+18,@TrungTPhan 😂,https://twitter.com/elonmusk/status/1698064669489992029,tweet,Elon Musk,80,2,34,756,43476,4,9/2/2023 23:05,
1.69806E+18,@DanielleFong Wow,https://twitter.com/elonmusk/status/1698064582785257731,tweet,Elon Musk,72,2,35,666,28392,3,9/2/2023 23:05,
1.69806E+18,@TheRabbitHole84 💯🤣,https://twitter.com/elonmusk/status/1698064380670177772,tweet,Elon Musk,118,9,84,1470,53552,5,9/2/2023 23:04,
1.69806E+18,Perhaps we should run a poll on this?,https://twitter.com/elonmusk/status/1698061633686311073,tweet,Elon Musk,10336,1267,13953,113795,23921269,828,9/2/2023 22:53,
1.69806E+18,"@thackerpd @JudiciaryGOP @MikeBenzCyber @mtaibbi @davidzweig @DrJBhattacharya He should tell it to the judge/jury. When his donors get deposed and there is full document discovery, this guy will sing a very different tune.

Sunlight is the best disinfectant.",https://twitter.com/elonmusk/status/1698061254529577163,tweet,Elon Musk,97,15,187,1398,58080,24,9/2/2023 22:52,
1.69806E+18,@alx It’s almost like they have an axe to grind 😂,https://twitter.com/elonmusk/status/1698058770776023476,tweet,Elon Musk,235,10,193,2341,66945,16,9/2/2023 22:42,
1.69805E+18,Cool,https://twitter.com/elonmusk/status/1698045414904148370,tweet,Elon Musk,5650,368,7610,83662,21136702,564,9/2/2023 21:49,
1.69805E+18,"Aiming for 10 Falcon flights in a month by end of this year, then 12 per month next year",https://twitter.com/elonmusk/status/1698045247547212093,tweet,Elon Musk,703,84,761,8739,1388451,60,9/2/2023 21:48,
1.69804E+18,"@BillyM2k Sorry, this should be more stable over time. Revenue share is still very much beta code.

Worth noting that only verified users (aka X Premium subscribers) count for ad revenue, otherwise it’s trivial to game.",https://twitter.com/elonmusk/status/1698044719635275974,tweet,Elon Musk,280,38,235,2202,248866,38,9/2/2023 21:46,
1.69804E+18,"Great work by the @SpaceX team successfully launching 61 Falcon rocket missions this year! 

If tomorrow’s mission goes well, we will exceed last year’s flight count. 

SpaceX has delivered ~80% of all Earth payload mass to orbit in 2023. China is ~10% &amp; rest of world other ~10%.",https://twitter.com/elonmusk/status/1698044026262286398,tweet,Elon Musk,4184,520,7160,65116,8250774,375,9/2/2023 21:43,
1.69768E+18,@LibertyCappy 😂,https://twitter.com/elonmusk/status/1697684453164798434,tweet,Elon Musk,336,17,89,1974,123089,14,9/1/2023 21:54,
1.69768E+18,"@WholeMarsBlog Just want to reiterate that there is no glass house (metaphors don’t count lol) built, under construction or planned!

I’m not building any house of any kind anywhere. Period.",https://twitter.com/elonmusk/status/1697684290618753320,tweet,Elon Musk,679,67,328,4014,178532,49,9/1/2023 21:54,
1.69768E+18,"@goth600 Great knock, knock joke 😂",https://twitter.com/elonmusk/status/1697682518969913656,tweet,Elon Musk,138,14,72,1142,84037,9,9/1/2023 21:47,
1.69768E+18,"It’s vital that creators be able to leave our platform at any time and take their subscribers with them.

We want to give peace of mind to creators that they’re not trapped here if they build a large audience.",https://twitter.com/elonmusk/status/1697681818139418904,tweet,Elon Musk,8987,1023,10423,75304,59854417,940,9/1/2023 21:44,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
